condition,participant,trial,session,filename,duration,safety_outcome,minimum_distance,safety_margin,safety_score,alert_timing,timing_quality,first_alert_distance,alert_effectiveness,alert_precision,false_positive_risk,peak_risk_reached,emergency_events_count,total_alerts,driver_state_at_alert
internal_only_P001,T3,20250727,163105,ttc_internal_only_P001_T3_20250727_163105.json,23.017112016677856,safe,19.162654876708984,17.162654876708984,1.0,early_appropriate,good,inf,precautionary,false_positive,1.0,0.6494822762329064,0,8,sleepy
external_only_P001,T3,20250727,163317,ttc_external_only_P001_T3_20250727_163317.json,20.108309984207153,safe,5.639904022216797,3.639904022216797,1.0,appropriate,good,15.35555648803711,moderately_effective,true_positive,0.0,1.0,13,3,safe_driving
external_only_P001,T3,20250727,163628,ttc_external_only_P001_T3_20250727_163628.json,20.03617763519287,safe,5.261375427246094,3.2613754272460938,1.0,appropriate,good,16.91433334350586,moderately_effective,true_positive,0.0,1.0,14,3,safe_driving
external_only_P001,T3,20250727,164443,ttc_external_only_P001_T3_20250727_164443.json,25.97476887702942,collision,0.0,-2.0,0.0,appropriate,good,8.405681610107422,insufficient,true_positive,0.0,1.0,13,3,safe_driving
external_only_P001,T3,20250727,163427,ttc_external_only_P001_T3_20250727_163427.json,23.085745334625244,safe,6.97930908203125,4.97930908203125,1.0,early_appropriate,good,inf,moderately_effective,true_positive,0.0,1.0,12,13,sleepy
external_only_P001,T3,20250727,163730,ttc_external_only_P001_T3_20250727_163730.json,24.024054050445557,near_miss,1.2796516418457031,-0.7203483581542969,0.6398258209228516,appropriate,good,12.307609558105469,indeterminate,true_positive,0.0,1.0,13,2,safe_driving
fusion_P001,T3,20250727,162150,ttc_fusion_P001_T3_20250727_162150.json,22.075045108795166,safe,13.284923553466797,11.284923553466797,1.0,early_appropriate,good,inf,indeterminate,false_positive,1.0,1.0,2,5,sleepy
internal_only_P001,T3,20250727,163149,ttc_internal_only_P001_T3_20250727_163149.json,18.083762645721436,collision,0.0,-2.0,0.0,early_appropriate,good,inf,insufficient,true_positive,0.0,1.0,33,5,sleepy
fusion_P001,T3,20250727,162420,ttc_fusion_P001_T3_20250727_162420.json,19.89617419242859,safe,2.9972305297851562,0.9972305297851562,0.7493076324462891,early_appropriate,good,inf,effective,true_positive,0.0,1.0,16,6,sleepy
fusion_P001,T3,20250727,162004,ttc_fusion_P001_T3_20250727_162004.json,19.179312467575073,safe,23.436458587646484,21.436458587646484,1.0,no_alerts,no_alert_needed,,correctly_suppressed,true_negative,0.0,0.3652304808731958,0,0,unknown
internal_only_P001,T3,20250727,162918,ttc_internal_only_P001_T3_20250727_162918.json,22.096450805664062,safe,17.81045150756836,15.81045150756836,1.0,no_alerts,no_alert_needed,,correctly_suppressed,true_negative,0.0,0.7487286612323131,0,0,unknown
